"evtype_data";"passage_num1_output";"passage_num2_output";"passage_num3_output"
"944";"WET WEATHER";NA;NA;"Heavy Rain"
"945";"WHIRLWIND";NA;"Cold/Wind Chill";"Cold/Wind Chill"
"946";"WILD FIRES";NA;"Wildfire";"Wildfire"
"947";"WILD/FOREST FIRE";NA;"Wildfire";"Wildfire"
"948";"WILD/FOREST FIRES";NA;"Wildfire";"Wildfire"
"949";"WILDFIRE";"Wildfire";"Wildfire";"Wildfire"
"950";"WILDFIRES";"Wildfire";"Wildfire";"Wildfire"
"951";"WIND";NA;"Cold/Wind Chill";"Cold/Wind Chill"
"952";"WIND ADVISORY";NA;"Cold/Wind Chill";"Cold/Wind Chill"
"953";"WIND AND WAVE";NA;"Cold/Wind Chill";"Cold/Wind Chill"
"954";"WIND CHILL";NA;"Cold/Wind Chill";"Cold/Wind Chill"
"955";"WIND CHILL/HIGH WIND";"High Wind";"Cold/Wind Chill";"Cold/Wind Chill"
"956";"WIND DAMAGE";NA;"Cold/Wind Chill";"Cold/Wind Chill"
"957";"WIND GUSTS";NA;"Cold/Wind Chill";"Cold/Wind Chill"
"958";"WIND STORM";NA;"Cold/Wind Chill";"Cold/Wind Chill"
"959";"WIND/HAIL";"Hail";"Cold/Wind Chill";"Cold/Wind Chill"
"960";"WINDS";NA;"Cold/Wind Chill";"Cold/Wind Chill"
"961";"WINTER MIX";NA;NA;NA
"962";"WINTER STORM";"Winter Storm";NA;NA
"963";"WINTER STORM HIGH WINDS";"Winter Storm";"High Wind";"High Wind"
"964";"WINTER STORM/HIGH WIND";"Winter Storm";"Cold/Wind Chill";"Cold/Wind Chill"
"965";"WINTER STORM/HIGH WINDS";"Winter Storm";"High Wind";"High Wind"
"966";"WINTER STORMS";"Winter Storm";NA;NA
"967";"WINTER WEATHER";"Winter Weather";NA;NA
"968";"WINTER WEATHER MIX";"Winter Weather";NA;NA
"969";"WINTER WEATHER/MIX";"Winter Weather";NA;NA
"970";"WINTERY MIX";NA;"Winter Weather";"Winter Weather"
"971";"WINTRY MIX";NA;"Winter Weather";"Winter Weather"
"972";"WND";NA;NA;NA
"973";"Wet Month";NA;NA;"Heavy Rain"
"974";"Wet Year";NA;NA;"Heavy Rain"
"975";"Whirlwind";NA;"Cold/Wind Chill";"Cold/Wind Chill"
"976";"Wind";NA;"Cold/Wind Chill";"Cold/Wind Chill"
"977";"Wind Damage";NA;"Cold/Wind Chill";"Cold/Wind Chill"
"978";"Winter Weather";"Winter Weather";NA;NA
"979";"Wintry Mix";NA;"Winter Weather";"Winter Weather"
"980";"Wintry mix";NA;"Winter Weather";"Winter Weather"
"981";"blowing snow";NA;"Heavy Snow";"Heavy Snow"
"982";"coastal flooding";"Flood";"Coastal Flood";"Coastal Flood"
"983";"gradient wind";NA;"Cold/Wind Chill";"Cold/Wind Chill"
"984";"small hail";"Hail";"Flood";"Flood"
"985";"wet micoburst";NA;NA;"Heavy Rain"
